selector, num_iters, interval_mean, cali_t_per_iter, weight_overhead, weight_cali, overhead_average, cali_t_average, weighted_overhead, weighted_cali, weighted_sum, num_nodes, prob, case_types_id, case_location_id, case_presence_id
all, 100, 23, 2795, 1e+05, 1, 0.04347826, 121.5217, 4347.826, 121.5217, 4469.348, 5, 50, 2, 1, 1
nodal, 100, 12.88, 1433.85, 1e+05, 1, 0.07763975, 111.3238, 7763.975, 111.3238, 7875.299, 5, 50, 2, 1, 1
local, 100, 12.88, 1433.85, 1e+05, 1, 0.07763975, 111.3238, 7763.975, 111.3238, 7875.299, 5, 50, 2, 1, 1
minimal, 100, 5.8, 911.96, 1e+05, 1, 0.1724138, 157.2345, 17241.38, 157.2345, 17398.61, 5, 50, 2, 1, 2
all, 100, 23, 2672, 1e+05, 1, 0.04347826, 116.1739, 4347.826, 116.1739, 4464, 5, 50, 2, 1, 2
nodal, 100, 12.48, 1338.02, 1e+05, 1, 0.08012821, 107.2131, 8012.821, 107.2131, 8120.034, 5, 50, 2, 1, 2
local, 100, 12.48, 1338.02, 1e+05, 1, 0.08012821, 107.2131, 8012.821, 107.2131, 8120.034, 5, 50, 2, 1, 2
minimal, 100, 6.5, 1367.33, 1e+05, 1, 0.1538462, 210.3585, 15384.62, 210.3585, 15594.97, 5, 50, 2, 1, 3
all, 100, 23, 2935, 1e+05, 1, 0.04347826, 127.6087, 4347.826, 127.6087, 4475.435, 5, 50, 2, 1, 3
nodal, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 1, 3
local, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 1, 3
minimal, 100, 5.8, 830.92, 1e+05, 1, 0.1724138, 143.2621, 17241.38, 143.2621, 17384.64, 5, 50, 2, 1, 4
all, 100, 23, 2149, 1e+05, 1, 0.04347826, 93.43478, 4347.826, 93.43478, 4441.261, 5, 50, 2, 1, 4
nodal, 100, 8.96, 753.35, 1e+05, 1, 0.1116071, 84.07924, 11160.71, 84.07924, 11244.79, 5, 50, 2, 1, 4
local, 100, 8.96, 753.35, 1e+05, 1, 0.1116071, 84.07924, 11160.71, 84.07924, 11244.79, 5, 50, 2, 1, 4
minimal, 100, 5.8, 1363.18, 1e+05, 1, 0.1724138, 235.031, 17241.38, 235.031, 17476.41, 5, 50, 2, 1, 5
all, 100, 23, 2935, 1e+05, 1, 0.04347826, 127.6087, 4347.826, 127.6087, 4475.435, 5, 50, 2, 1, 5
nodal, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 1, 5
local, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 1, 5
minimal, 100, 6.67, 1152.82, 1e+05, 1, 0.149925, 172.8366, 14992.5, 172.8366, 15165.34, 5, 50, 2, 2, 1
all, 100, 23, 2795, 1e+05, 1, 0.04347826, 121.5217, 4347.826, 121.5217, 4469.348, 5, 50, 2, 2, 1
nodal, 100, 12.88, 1433.85, 1e+05, 1, 0.07763975, 111.3238, 7763.975, 111.3238, 7875.299, 5, 50, 2, 2, 1
local, 100, 12.88, 1433.85, 1e+05, 1, 0.07763975, 111.3238, 7763.975, 111.3238, 7875.299, 5, 50, 2, 2, 1
minimal, 100, 5.8, 911.96, 1e+05, 1, 0.1724138, 157.2345, 17241.38, 157.2345, 17398.61, 5, 50, 2, 2, 2
all, 100, 23, 2672, 1e+05, 1, 0.04347826, 116.1739, 4347.826, 116.1739, 4464, 5, 50, 2, 2, 2
nodal, 100, 12.48, 1338.02, 1e+05, 1, 0.08012821, 107.2131, 8012.821, 107.2131, 8120.034, 5, 50, 2, 2, 2
local, 100, 12.48, 1338.02, 1e+05, 1, 0.08012821, 107.2131, 8012.821, 107.2131, 8120.034, 5, 50, 2, 2, 2
minimal, 100, 6.5, 1367.33, 1e+05, 1, 0.1538462, 210.3585, 15384.62, 210.3585, 15594.97, 5, 50, 2, 2, 3
all, 100, 23, 2935, 1e+05, 1, 0.04347826, 127.6087, 4347.826, 127.6087, 4475.435, 5, 50, 2, 2, 3
nodal, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 2, 3
local, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 2, 3
minimal, 100, 5.8, 830.92, 1e+05, 1, 0.1724138, 143.2621, 17241.38, 143.2621, 17384.64, 5, 50, 2, 2, 4
all, 100, 23, 2149, 1e+05, 1, 0.04347826, 93.43478, 4347.826, 93.43478, 4441.261, 5, 50, 2, 2, 4
nodal, 100, 8.96, 753.35, 1e+05, 1, 0.1116071, 84.07924, 11160.71, 84.07924, 11244.79, 5, 50, 2, 2, 4
local, 100, 8.96, 753.35, 1e+05, 1, 0.1116071, 84.07924, 11160.71, 84.07924, 11244.79, 5, 50, 2, 2, 4
minimal, 100, 5.8, 1363.18, 1e+05, 1, 0.1724138, 235.031, 17241.38, 235.031, 17476.41, 5, 50, 2, 2, 5
all, 100, 23, 2935, 1e+05, 1, 0.04347826, 127.6087, 4347.826, 127.6087, 4475.435, 5, 50, 2, 2, 5
nodal, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 2, 5
local, 100, 23, 2905.65, 1e+05, 1, 0.04347826, 126.3326, 4347.826, 126.3326, 4474.159, 5, 50, 2, 2, 5
minimal, 100, 5.51, 1759.56, 1e+05, 1, 0.1814882, 319.3394, 18148.82, 319.3394, 18468.16, 10, 50, 1, 1, 1
all, 100, 18, 5226, 1e+05, 1, 0.05555556, 290.3333, 5555.556, 290.3333, 5845.889, 10, 50, 1, 1, 1
nodal, 100, 9, 1705.28, 1e+05, 1, 0.1111111, 189.4756, 11111.11, 189.4756, 11300.59, 10, 50, 1, 1, 1
local, 100, 9, 1705.28, 1e+05, 1, 0.1111111, 189.4756, 11111.11, 189.4756, 11300.59, 10, 50, 1, 1, 1
minimal, 100, 5.51, 2457.15, 1e+05, 1, 0.1814882, 445.9437, 18148.82, 445.9437, 18594.76, 10, 50, 1, 1, 2
all, 100, 18, 5591, 1e+05, 1, 0.05555556, 310.6111, 5555.556, 310.6111, 5866.167, 10, 50, 1, 1, 2
nodal, 100, 8.7, 2433.36, 1e+05, 1, 0.1149425, 279.6966, 11494.25, 279.6966, 11773.95, 10, 50, 1, 1, 2
local, 100, 8.7, 2433.36, 1e+05, 1, 0.1149425, 279.6966, 11494.25, 279.6966, 11773.95, 10, 50, 1, 1, 2
minimal, 100, 5.51, 2247.06, 1e+05, 1, 0.1814882, 407.8149, 18148.82, 407.8149, 18556.64, 10, 50, 1, 1, 3
all, 100, 18, 4904, 1e+05, 1, 0.05555556, 272.4444, 5555.556, 272.4444, 5828, 10, 50, 1, 1, 3
nodal, 100, 7.82, 1827.05, 1e+05, 1, 0.1278772, 233.6381, 12787.72, 233.6381, 13021.36, 10, 50, 1, 1, 3
local, 100, 7.82, 1827.05, 1e+05, 1, 0.1278772, 233.6381, 12787.72, 233.6381, 13021.36, 10, 50, 1, 1, 3
minimal, 100, 5.51, 2042.84, 1e+05, 1, 0.1814882, 370.7514, 18148.82, 370.7514, 18519.57, 10, 50, 1, 1, 4
all, 100, 18, 5591, 1e+05, 1, 0.05555556, 310.6111, 5555.556, 310.6111, 5866.167, 10, 50, 1, 1, 4
nodal, 100, 10.44, 2626.63, 1e+05, 1, 0.09578544, 251.5929, 9578.544, 251.5929, 9830.137, 10, 50, 1, 1, 4
local, 100, 10.44, 2626.63, 1e+05, 1, 0.09578544, 251.5929, 9578.544, 251.5929, 9830.137, 10, 50, 1, 1, 4
minimal, 100, 5.51, 2097.18, 1e+05, 1, 0.1814882, 380.6134, 18148.82, 380.6134, 18529.43, 10, 50, 1, 1, 5
